Date;Suffix;KM;Dplus;Top;People;Name;Type;Comment;EventLink;TrailShortLink;TrailFullLink;Trail1;Trail2;Album
2023-11-26;;13.0;600;;13;🥾🟢 Hike: Easy loop around Theys 🍂🏡🍁;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/297556849/;https://s.42l.fr/kKgo0xaH;"https://brouter.de/brouter-web/#map=14/45.3173/6.0028/1069&lonlats=5.994716,45.301435;5.996296,45.301939;6.000423,45.310021;6.01583,45.321916;6.01797,45.321119;6.0229,45.326086;6.026988,45.331156;6.033297,45.325329;6.025078,45.320666;6.010165,45.307674;5.999866,45.300867;5.994791,45.301394&profile=hiking-mountain";;;2023-11-26-🥾🟢-Hike:-Easy-loop-around-Theys-🍂🏡🍁.html
2023-12-03;;15.0;763;;16;🥾🔵 Hike: Snow Walk Peyrouse from St-Jean-de-Vaulx ⛄❄;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/297699455/;https://s.42l.fr/j1OmXr_W;"https://brouter.de/brouter-web/#map=14/45.0138/5.7404/1069&lonlats=5.757877,45.01237;5.75469,45.028906;5.751858,45.036049;5.745034,45.028861;5.726967,44.997424;5.724564,44.991914;5.752716,45.00509;5.757732,45.01234&profile=hiking-mountain";;;2023-12-03-🥾🔵-Hike:-Snow-Walk-Peyrouse-from-St-Jean-de-Vaulx-⛄❄.html
2023-12-10;;14.8;419;;12;🥾🟢 Hike: Easy loop near Laffrey and its lakes 🌅🌲🌄🐌;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/297831868/;https://s.42l.fr/7pOUT96k;"https://brouter.de/brouter-web/#map=14/45.0216/5.7854/OpenTopoMap&lonlats=5.776545,45.022253;5.781984,45.036051;5.789022,45.037415;5.790932,45.035306;5.794902,45.035147;5.810893,45.036747;5.812191,45.036826;5.812454,45.026374;5.793056,45.012743;5.793394,45.001836;5.786641,45.013811;5.786533,45.017199;5.781716,45.023857;5.776845,45.022139&profile=hiking-mountain";;;2023-12-10-🥾🟢-Hike:-Easy-loop-near-Laffrey-and-its-lakes-🌅🌲🌄🐌.html
2023-12-29;;;;;2;GAC indoor activities: axe throwing;;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298190705/;;;;;2023-12-29-GAC-indoor-activities:-axe-throwing.html
2024-01-06;;14.1;727;;12;🥾🔵 Hike: From Tullins 🏙️ to Chartreuse Notre-Dame de Parmenie ⛪️;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298335698/;https://s.42l.fr/pgdVqpJV;"https://brouter.de/brouter-web/#map=14/45.3086/5.4802/1069&lonlats=5.485466,45.302803;5.485611,45.303204;5.484924,45.303501;5.48427,45.303312;5.481928,45.303765;5.48353,45.304081;5.485225,45.305833;5.481319,45.308993;5.479324,45.3111;5.473595,45.315536;5.470934,45.318358;5.474668,45.321812;5.467731,45.323778;5.465215,45.323565;5.468574,45.318311;5.456536,45.305433;5.464668,45.303383;5.453703,45.299777;5.467329,45.297059;5.48074,45.298097;5.481416,45.297873;5.484152,45.300521;5.484812,45.302277;5.485337,45.302699";;;2024-01-06-🥾🔵-Hike:-From-Tullins-🏙️-to-Chartreuse-Notre-Dame-de-Parmenie-⛪️.html
2024-01-13;;;;;15;🎿 Ski: Ski for NOOB 2024 - Session 1 ⛷;Ski;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298503169/;https://s.42l.fr/kUBuCnzS;https://www.achardsports.com/location-de-ski-niveau-bleu/;;;2024-01-13-🎿-Ski:-Ski-for-NOOB-2024---Session-1-⛷.html
2024-01-21;;13.5;710;;7;🥾🔵 Hike: Loop around St-Georges-de-Commiers and walk along old train path 🚂;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298638373/;https://s.42l.fr/7s104CRd;"https://brouter.de/brouter-web/#map=14/45.0238/5.7071/OpenTopoMap&lonlats=5.704104,45.038111;5.708921,45.032501;5.706201,45.027595;5.711904,45.028557;5.717772,45.031531;5.716227,45.028474;5.715627,45.02519;5.717514,45.023703;5.718244,45.020972;5.719221,45.013421;5.720175,45.012533;5.710436,45.006432;5.7137,45.014284;5.701087,45.010869;5.69838,45.010648;5.699029,45.014578;5.699142,45.01967;5.701153,45.024599;5.699383,45.027163;5.698498,45.031614;5.699565,45.035079;5.703905,45.038119&profile=hiking-mountain";;;2024-01-21-🥾🔵-Hike:-Loop-around-St-Georges-de-Commiers-and-walk-along-old-train-path-🚂.html
2024-01-27;;12.5;;;7;🥾🔵 Hike: enjoying the panoramic views and full-moon night sky deep in Vercors;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298796068/;;;;;2024-01-27-🥾🔵-Hike:-enjoying-the-panoramic-views-and-full-moon-night-sky-deep-in-Vercors.html
2024-01-28;;10.5;510;;4;🥾🟢 Hike: Sainte-Agnès, a village between forest 🌲 and mountains ⛰️;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298820053/;https://s.42l.fr/vxvZ2C-J;"https://brouter.de/brouter-web/#map=15/45.2397/5.9378/1069&lonlats=5.921196,45.238118;5.914186,45.246295;5.925954,45.240652;5.958259,45.241218;5.962403,45.234311;5.950215,45.234542;5.937531,45.235028;5.933175,45.235673;5.921247,45.238093&profile=hiking-mountain";;;2024-01-28-🥾🟢-Hike:-Sainte-Agnes,-a-village-between-forest-🌲-and-mountains-⛰️.html
2024-02-04;;9.7;948;;21;🥾🔴 Hike: La Scia from St-Pierre-de-Chartreuse ⛄❄🛷;Hike;;https://www.meetup.com/grenoble-adventure-club-english-french/events/298950788/;https://s.42l.fr/B-WDpxYh;"https://brouter.de/brouter-web/#map=15/45.3446/5.8344/OpenTopoMap&lonlats=5.814729,45.343138;5.820415,45.340261;5.838547,45.340956;5.850493,45.342247;5.850863,45.349318;5.846486,45.344892;5.823398,45.344922;5.814857,45.343334&profile=hiking-mountain";;;2024-02-04-🥾🔴-Hike:-La-Scia-from-St-Pierre-de-Chartreuse-⛄❄🛷.html
