Date,Suffix,KM,Dplus,Top,People,Name,Type,Comment,id,EventLink,TrailShortLink,TrailFullLink,Trail1,Trail2,Album,HavePhoto
2020-06-28,,8.4,813,1046,3,"Circuit Mont Jalla – Mont Rachais",Hike,,271562817,https://www.meetup.com/grenoble-adventure-club-english-french/events/271562817,https://s.42l.fr/5k1GoOd4,,,,2020-06-28-Circuit-Mont-Jalla-Mont-Rachais.html,
2020-07-02,,,,,7,"Weekend Trail Planning (with apéritif)",Party,,271586184,https://www.meetup.com/grenoble-adventure-club-english-french/events/271586184,,,,,,No
2020-07-04,,3.6,786,2082,6,"Chamechaude 4th of July!",Hike,,271679624,https://www.meetup.com/grenoble-adventure-club-english-french/events/271679624,https://s.42l.fr/iTny7FHv,,,,2020-07-04-Chamechaude-4th-of-July.html,
2020-07-05,,6.2,70,220,11,"""City Hike"" with Game :)",Hike,,271695565,https://www.meetup.com/grenoble-adventure-club-english-french/events/271695565,https://frama.link/FzfQXGha,,,,2020-07-05-City-Hike-with-Game.html,
2020-07-08,,,,,4,"Weekend Trail Planning + Game",Party,,271749780,https://www.meetup.com/grenoble-adventure-club-english-french/events/271749780,,,,,,No
2020-07-10,,,,,4,"Friday Night Improvisation & Late Planning",Party,,271841270,https://www.meetup.com/grenoble-adventure-club-english-french/events/271841270,,,,,,No
2020-07-11,,4.3,60,220,4,"City Hike #2 with Geocaching",Hike,,271771141,https://www.meetup.com/grenoble-adventure-club-english-french/events/271771141,https://frama.link/XsStAy4E,,,,,No
2020-07-12,,14.6,1190,2448,15,"Chamrousse and the lakes, 12th of July!",Hike,,271778570,https://www.meetup.com/grenoble-adventure-club-english-french/events/271778570,https://frama.link/5RJcyZ8w,,,,"2020-07-12-Chamrousse-and-the-lakes,-12th-of-July.html",
2020-07-14,,11.9,442,683,16,"Bastille Day Hike - Vive La France !!!",Hike,,271838208,https://www.meetup.com/grenoble-adventure-club-english-french/events/271838208,https://frama.link/kB_8PSV_,,,,2020-07-14-Bastille-Day-Hike-Vive-La-France.html,
2020-07-18,,6.6,50,220,7,"Chill afternoon Geocaching: from noob/muggle to legend",Hike,,271960604,https://www.meetup.com/grenoble-adventure-club-english-french/events/271960604,https://frama.link/vjEtRFtR,,,,,No
2020-07-19,via,,,,7,"Cuves de Sassenage Cancelled! Let's do some via Ferrata instead!",Via,,271946883,https://www.meetup.com/grenoble-adventure-club-english-french/events/271946883,,,,,2020-07-19-[Cuves-de-Sassenage-Cancelled]-Lets-do-some-via-Ferrata-instead.html,
2020-07-19,,12.2,869,847,11,"Refreshing hiking Cuves de Sassenage & Ferme Durand",Hike,,271987148,https://www.meetup.com/grenoble-adventure-club-english-french/events/271987148,https://frama.link/Z1dSsMd1,,,,2020-07-19-Refreshing-hiking-Cuves-de-Sassenage-and-Ferme-Durand.html,
2020-07-25,,9.6,982,1006,7,"PLAN B - GR9: from Grenoble to Mont Rachais",Hike,,272076374,https://www.meetup.com/grenoble-adventure-club-english-french/events/272076374,https://frama.link/fp-P9n9c,,,,2020-07-25-[PLAN-B]-GR9-from-Grenoble-to-Mont-Rachais.html,
2020-07-26,,20.8,570,720,20,"Sunday Funday!",Hike,,272059645,https://www.meetup.com/grenoble-adventure-club-english-french/events/272059645,https://s.42l.fr/OVHHa0Md,,,,2020-07-26-Sunday-Funday.html,
2020-07-31,,,,,5,"Les diamants de Mistral!",Game,,272216179,https://www.meetup.com/grenoble-adventure-club-english-french/events/272216179,,,,,,No
2020-08-01,,21,1628,2020,6,"La dent de Crolles and more (or not)...",Hike,,272212113,https://www.meetup.com/grenoble-adventure-club-english-french/events/272212113,https://s.42l.fr/DqIv6LwB,,,,2020-08-01-La-dent-de-Crolles-and-more-or-not.html,
2020-08-02,,9.1,837,2414,10,"Too hot on Sunday, let's go to Brouffier",Hike,,272245836,https://www.meetup.com/grenoble-adventure-club-english-french/events/272245836,https://frama.link/myvV6DZ3,,,,"2020-08-02-Too-hot-on-Sunday,-lets-go-to-Brouffier.html",
2020-08-08,,,,,12,"🌡️ 37°C on Saturday. Beginner 'Fresh' ❄️via ferrata along the river 🌊",Via,,272376076,https://www.meetup.com/grenoble-adventure-club-english-french/events/272376076,,,,,2020-08-08-🌡️-37°C-on-Saturday-Beginner-Fresh-❄️via-ferrata-along-the-river-🌊.html,
2020-08-09,,13.4,83,233,14,"Row 🚣 row 🚣 row 🚣 your boat Gently down the stream.. Life is but a dream!",Canoe,,272193664,https://www.meetup.com/grenoble-adventure-club-english-french/events/272193664,https://s.42l.fr/gqJORTQH,,,,2020-08-09-Row-🚣-row-🚣-row-🚣-your-boat-Gently-down-the-stream-Life-is-but-a-dream.html,
2020-08-11,,3.2,271,480,5,"Via ferrata à la Bastille 🧗‍♀️/🧗‍♂️",Hike,,272501616,https://www.meetup.com/grenoble-adventure-club-english-french/events/272501616,https://s.42l.fr/yg729ANy,,,,2020-08-11-Via-ferrata-a-la-Bastille-🧗‍♀️_🧗‍♂️.html,
